source	metaedge	target
Gene::952	GiG	Gene::3659
Gene::6613	GiG	Gene::64210
Gene::3835	GiG	Gene::6310
Gene::7704	GiG	Gene::55339
Gene::1788	GiG	Gene::7329
Gene::3068	GiG	Gene::6745
Gene::2099	GiG	Gene::10541
Gene::1457	GiG	Gene::10199
Gene::4155	GiG	Gene::4316
Gene::54165	GiG	Gene::57561
Gene::8453	GiG	Gene::55627
Gene::1147	GiG	Gene::9475
Gene::7316	GiG	Gene::8648
Gene::3643	GiG	Gene::5796
Gene::55663	GiG	Gene::388677
Gene::2260	GiG	Gene::5296
Gene::3360	GiG	Gene::9219
Gene::4090	GiG	Gene::10273
Gene::3952	GiG	Gene::6774
Gene::84708	GiG	Gene::150084
Gene::22938	GiG	Gene::84105
Gene::995	GiG	Gene::6714
Gene::8367	GiG	Gene::9015
Gene::64395	GiG	Gene::112744
Gene::8531	GiG	Gene::55832
Gene::1073	GiG	Gene::2885
Gene::26608	GiG	Gene::284695
Gene::5685	GiG	Gene::5713
Gene::1454	GiG	Gene::7533
Gene::633	GiG	Gene::1280
Gene::8452	GiG	Gene::55175
Gene::23012	GiG	Gene::81532
Gene::30008	GiG	Gene::353141
Gene::5928	GiG	Gene::9112
Gene::8481	GiG	Gene::81552
Gene::2746	GiG	Gene::7448
Gene::2074	GiG	Gene::8364
Gene::836	GiG	Gene::5981
Gene::409	GiG	Gene::23032
Gene::375	GiG	Gene::8943
Gene::9445	GiG	Gene::10488
Gene::6132	GiG	Gene::8517
Gene::8361	GiG	Gene::51377
Gene::1432	GiG	Gene::4820
Gene::814	GiG	Gene::3320
Gene::1459	GiG	Gene::2247
Gene::7186	GiG	Gene::60491
Gene::8451	GiG	Gene::9188
Gene::7534	GiG	Gene::29109
Gene::2064	GiG	Gene::5295
Gene::10013	GiG	Gene::10376
Gene::3185	GiG	Gene::4843
Gene::292	GiG	Gene::2091
Gene::1994	GiG	Gene::55226
Gene::5929	GiG	Gene::8290
Gene::23345	GiG	Gene::57418
Gene::860	GiG	Gene::8431
Gene::8405	GiG	Gene::9046
Gene::3002	GiG	Gene::10277
Gene::23543	GiG	Gene::93487
Gene::8452	GiG	Gene::9524
Gene::23016	GiG	Gene::23404
Gene::5686	GiG	Gene::5688
Gene::3320	GiG	Gene::26270
Gene::4089	GiG	Gene::27156
Gene::10781	GiG	Gene::11140
Gene::26960	GiG	Gene::29888
Gene::1650	GiG	Gene::10419
Gene::3093	GiG	Gene::445372
Gene::1649	GiG	Gene::10538
Gene::2549	GiG	Gene::5787
Gene::7534	GiG	Gene::8355
Gene::10146	GiG	Gene::51547
Gene::4363	GiG	Gene::4869
Gene::3308	GiG	Gene::4738
Gene::57159	GiG	Gene::117178
Gene::9146	GiG	Gene::10254
Gene::8358	GiG	Gene::200186
Gene::4893	GiG	Gene::51196
Gene::3192	GiG	Gene::6176
Gene::7335	GiG	Gene::7681
Gene::1857	GiG	Gene::81839
Gene::1026	GiG	Gene::5425
Gene::4669	GiG	Gene::7316
Gene::10165	GiG	Gene::10419
Gene::2963	GiG	Gene::6917
Gene::8910	GiG	Gene::51503
Gene::6338	GiG	Gene::23072
Gene::5111	GiG	Gene::8451
Gene::2247	GiG	Gene::10563
Gene::489	GiG	Gene::3105
Gene::6607	GiG	Gene::26097
Gene::26039	GiG	Gene::55816
Gene::4628	GiG	Gene::7532
Gene::22823	GiG	Gene::54732
Gene::6925	GiG	Gene::117581
Gene::310	GiG	Gene::9397
Gene::1385	GiG	Gene::2932
Gene::183	GiG	Gene::2885
Gene::10015	GiG	Gene::92421
Gene::87	GiG	Gene::4026
Gene::207	GiG	Gene::10413
Gene::4791	GiG	Gene::5708
Gene::4799	GiG	Gene::9972
Gene::2242	GiG	Gene::3667
Gene::7316	GiG	Gene::219899
Gene::5047	GiG	Gene::10980
Gene::7316	GiG	Gene::55248
Gene::358	GiG	Gene::10253
Gene::51634	GiG	Gene::84811
Gene::10193	GiG	Gene::51329
Gene::9470	GiG	Gene::54474
Gene::3172	GiG	Gene::8841
Gene::351	GiG	Gene::192286
Gene::605	GiG	Gene::7316
Gene::9464	GiG	Gene::10987
Gene::22938	GiG	Gene::84445
Gene::5594	GiG	Gene::7175
Gene::2091	GiG	Gene::3068
Gene::367	GiG	Gene::2071
Gene::3911	GiG	Gene::9900
Gene::6141	GiG	Gene::6897
Gene::3326	GiG	Gene::55159
Gene::1236	GiG	Gene::2826
Gene::5336	GiG	Gene::6464
Gene::4313	GiG	Gene::219333
Gene::1108	GiG	Gene::7412
Gene::1583	GiG	Gene::4093
Gene::55093	GiG	Gene::653121
Gene::5689	GiG	Gene::51377
Gene::2091	GiG	Gene::3320
Gene::7316	GiG	Gene::11190
Gene::6303	GiG	Gene::55183
Gene::4149	GiG	Gene::6767
Gene::6850	GiG	Gene::7409
Gene::6709	GiG	Gene::8491
Gene::4116	GiG	Gene::6134
Gene::6498	GiG	Gene::51523
Gene::4088	GiG	Gene::5106
Gene::4282	GiG	Gene::9158
Gene::6232	GiG	Gene::11035
Gene::2038	GiG	Gene::84651
Gene::5013	GiG	Gene::386680
Gene::657	GiG	Gene::4086
Gene::4790	GiG	Gene::222643
Gene::2099	GiG	Gene::10273
Gene::8362	GiG	Gene::9555
Gene::567	GiG	Gene::3133
Gene::9632	GiG	Gene::25793
Gene::10201	GiG	Gene::10534
Gene::11218	GiG	Gene::54433
Gene::4686	GiG	Gene::8065
Gene::4163	GiG	Gene::10054
Gene::373	GiG	Gene::7114
Gene::7316	GiG	Gene::23089
Gene::9796	GiG	Gene::92342
Gene::6717	GiG	Gene::7316
Gene::3064	GiG	Gene::9788
Gene::4282	GiG	Gene::10273
Gene::386681	GiG	Gene::653240
Gene::3579	GiG	Gene::6002
Gene::23281	GiG	Gene::375307
Gene::6654	GiG	Gene::7535
Gene::11189	GiG	Gene::54715
Gene::3066	GiG	Gene::23309
Gene::1452	GiG	Gene::7533
Gene::5987	GiG	Gene::54474
Gene::3064	GiG	Gene::64927
Gene::3187	GiG	Gene::5901
Gene::196	GiG	Gene::6908
Gene::4735	GiG	Gene::25839
Gene::53615	GiG	Gene::79959
Gene::5916	GiG	Gene::91703
Gene::2071	GiG	Gene::57654
Gene::408	GiG	Gene::8360
Gene::3009	GiG	Gene::8338
Gene::3488	GiG	Gene::3837
Gene::5413	GiG	Gene::151011
Gene::1139	GiG	Gene::5295
Gene::7316	GiG	Gene::390231
Gene::3930	GiG	Gene::8367
Gene::2885	GiG	Gene::9054
Gene::268	GiG	Gene::5125
Gene::6391	GiG	Gene::6392
Gene::975	GiG	Gene::6464
Gene::4217	GiG	Gene::5563
Gene::10717	GiG	Gene::11154
Gene::3433	GiG	Gene::9636
Gene::5927	GiG	Gene::653604
Gene::5928	GiG	Gene::81629
Gene::3609	GiG	Gene::26986
Gene::7251	GiG	Gene::10193
Gene::805	GiG	Gene::9641
Gene::6142	GiG	Gene::10772
Gene::1938	GiG	Gene::3035
Gene::2157	GiG	Gene::90411
Gene::9128	GiG	Gene::10443
Gene::3692	GiG	Gene::5036
Gene::5580	GiG	Gene::54101
Gene::2059	GiG	Gene::55971
Gene::3178	GiG	Gene::7916
Gene::3594	GiG	Gene::149233
Gene::27332	GiG	Gene::30008
Gene::2885	GiG	Gene::8491
Gene::5976	GiG	Gene::83858
Gene::163	GiG	Gene::27229
Gene::10772	GiG	Gene::29896
Gene::3082	GiG	Gene::6383
Gene::55138	GiG	Gene::123722
Gene::7316	GiG	Gene::8602
Gene::9533	GiG	Gene::10969
Gene::6095	GiG	Gene::10987
Gene::842	GiG	Gene::5595
Gene::51317	GiG	Gene::157570
Gene::1080	GiG	Gene::26003
Gene::2099	GiG	Gene::23426
Gene::1933	GiG	Gene::6129
Gene::5295	GiG	Gene::7046
Gene::8517	GiG	Gene::10499
Gene::10318	GiG	Gene::127428
Gene::10513	GiG	Gene::25816
Gene::373	GiG	Gene::11067
Gene::4105	GiG	Gene::254251
Gene::6788	GiG	Gene::84557
Gene::8786	GiG	Gene::10681
Gene::10781	GiG	Gene::386682
Gene::1944	GiG	Gene::1969
Gene::8451	GiG	Gene::9426
Gene::7316	GiG	Gene::57862
Gene::4236	GiG	Gene::23281
Gene::1397	GiG	Gene::6310
Gene::595	GiG	Gene::4176
Gene::3181	GiG	Gene::9657
Gene::3662	GiG	Gene::9636
Gene::259	GiG	Gene::2335
Gene::3661	GiG	Gene::10616
Gene::1748	GiG	Gene::6141
Gene::26058	GiG	Gene::80709
Gene::4609	GiG	Gene::7520
Gene::1457	GiG	Gene::51602
Gene::3188	GiG	Gene::9045
Gene::2335	GiG	Gene::6776
Gene::208	GiG	Gene::84335
Gene::3932	GiG	Gene::84445
Gene::7316	GiG	Gene::154807
Gene::382	GiG	Gene::409
Gene::166	GiG	Gene::8241
Gene::6144	GiG	Gene::6158
Gene::2099	GiG	Gene::55844
Gene::5174	GiG	Gene::142680
Gene::875	GiG	Gene::1017
Gene::3183	GiG	Gene::51065
Gene::4101	GiG	Gene::7161
Gene::3187	GiG	Gene::8452
Gene::6168	GiG	Gene::30968
Gene::1956	GiG	Gene::9146
Gene::2189	GiG	Gene::3866
Gene::7316	GiG	Gene::387890
Gene::1154	GiG	Gene::3560
Gene::10241	GiG	Gene::84708
Gene::9657	GiG	Gene::552900
Gene::4771	GiG	Gene::9730
Gene::9529	GiG	Gene::79607
Gene::5037	GiG	Gene::7182
Gene::58157	GiG	Gene::339834
Gene::2770	GiG	Gene::9248
Gene::2275	GiG	Gene::5594
Gene::4691	GiG	Gene::4869
Gene::6147	GiG	Gene::388697
Gene::52	GiG	Gene::1969
Gene::351	GiG	Gene::10352
Gene::1107	GiG	Gene::55660
Gene::5394	GiG	Gene::51547
Gene::302	GiG	Gene::3837
Gene::2534	GiG	Gene::5792
Gene::3021	GiG	Gene::3676
Gene::2130	GiG	Gene::23648
Gene::4311	GiG	Gene::6175
Gene::6883	GiG	Gene::8365
Gene::7158	GiG	Gene::8355
Gene::805	GiG	Gene::5887
Gene::7020	GiG	Gene::11059
Gene::1017	GiG	Gene::56647
Gene::9033	GiG	Gene::342372
Gene::3163	GiG	Gene::10153
Gene::10900	GiG	Gene::84897
Gene::7454	GiG	Gene::10109
Gene::3980	GiG	Gene::200558
Gene::23451	GiG	Gene::25885
Gene::1487	GiG	Gene::8487
Gene::6130	GiG	Gene::6950
Gene::2773	GiG	Gene::2783
Gene::8453	GiG	Gene::51239
Gene::11218	GiG	Gene::11331
Gene::8360	GiG	Gene::9759
Gene::6613	GiG	Gene::51100
Gene::6688	GiG	Gene::25942
Gene::1026	GiG	Gene::10743
Gene::6633	GiG	Gene::10992
Gene::7316	GiG	Gene::7533
Gene::1291	GiG	Gene::3912
Gene::78990	GiG	Gene::81603
Gene::1018	GiG	Gene::1027
Gene::445	GiG	Gene::7014
Gene::7316	GiG	Gene::26750
Gene::3635	GiG	Gene::3815
Gene::2224	GiG	Gene::2260
Gene::3066	GiG	Gene::11331
Gene::10987	GiG	Gene::60314
Gene::408	GiG	Gene::160851
Gene::8607	GiG	Gene::83444
Gene::1263	GiG	Gene::6790
Gene::668	GiG	Gene::7329
Gene::2353	GiG	Gene::6359
Gene::5747	GiG	Gene::6311
Gene::8366	GiG	Gene::51460
Gene::2157	GiG	Gene::2158
Gene::8531	GiG	Gene::23076
Gene::403	GiG	Gene::55791
Gene::4331	GiG	Gene::55658
Gene::2770	GiG	Gene::2825
Gene::94235	GiG	Gene::654364
Gene::1363	GiG	Gene::6117
Gene::3692	GiG	Gene::23560
Gene::127	GiG	Gene::351
Gene::1748	GiG	Gene::6128
Gene::6188	GiG	Gene::8087
Gene::8367	GiG	Gene::51547
Gene::3980	GiG	Gene::7316
Gene::8454	GiG	Gene::123879
Gene::10636	GiG	Gene::26277
Gene::64853	GiG	Gene::84708
Gene::6749	GiG	Gene::8454
Gene::6175	GiG	Gene::170506
Gene::613	GiG	Gene::7534
Gene::8357	GiG	Gene::10943
Gene::51547	GiG	Gene::55031
Gene::7919	GiG	Gene::84321
Gene::51547	GiG	Gene::55234
Gene::5764	GiG	Gene::29979
Gene::6224	GiG	Gene::7412
Gene::1147	GiG	Gene::55620
Gene::8841	GiG	Gene::9989
Gene::1845	GiG	Gene::2252
Gene::3221	GiG	Gene::5591
Gene::4087	GiG	Gene::55599
Gene::1788	GiG	Gene::3021
Gene::1213	GiG	Gene::5501
Gene::1173	GiG	Gene::9612
Gene::7316	GiG	Gene::26995
Gene::5595	GiG	Gene::6197
Gene::5245	GiG	Gene::26354
Gene::7316	GiG	Gene::144195
Gene::2672	GiG	Gene::7157
Gene::331	GiG	Gene::2071
Gene::81631	GiG	Gene::89849
Gene::7532	GiG	Gene::51111
Gene::3190	GiG	Gene::5903
Gene::1445	GiG	Gene::79930
Gene::5708	GiG	Gene::23198
Gene::2885	GiG	Gene::388324
Gene::55201	GiG	Gene::442867
Gene::7343	GiG	Gene::9014
Gene::3866	GiG	Gene::167838
Gene::6205	GiG	Gene::26168
Gene::3665	GiG	Gene::51588
Gene::7553	GiG	Gene::10474
Gene::988	GiG	Gene::8499
Gene::5746	GiG	Gene::9380
Gene::6839	GiG	Gene::8354
Gene::6097	GiG	Gene::56938
Gene::10856	GiG	Gene::11224
Gene::51545	GiG	Gene::57120
Gene::6477	GiG	Gene::7027
Gene::4163	GiG	Gene::6189
Gene::8365	GiG	Gene::9015
Gene::92	GiG	Gene::9863
Gene::351	GiG	Gene::5223
Gene::2192	GiG	Gene::4089
Gene::9372	GiG	Gene::89941
Gene::8352	GiG	Gene::9318
Gene::6154	GiG	Gene::54532
Gene::6187	GiG	Gene::6950
Gene::5788	GiG	Gene::27257
Gene::6923	GiG	Gene::140825
Gene::6303	GiG	Gene::55791
Gene::55661	GiG	Gene::84988
Gene::9768	GiG	Gene::283869
Gene::4627	GiG	Gene::7341
Gene::3326	GiG	Gene::3611
