source	metaedge	target
Anatomy::UBERON:0001295	AuG	Gene::84962
Anatomy::UBERON:0001675	AuG	Gene::51022
Anatomy::UBERON:0000948	AuG	Gene::11096
Anatomy::UBERON:0001296	AuG	Gene::220963
Anatomy::UBERON:0000955	AuG	Gene::157
Anatomy::UBERON:0000996	AuG	Gene::9139
Anatomy::UBERON:0000995	AuG	Gene::1523
Anatomy::UBERON:0002185	AuG	Gene::56649
Anatomy::UBERON:0002107	AuG	Gene::6672
Anatomy::UBERON:0000057	AuG	Gene::23774
Anatomy::UBERON:0002367	AuG	Gene::120406
Anatomy::UBERON:0000473	AuG	Gene::10382
Anatomy::UBERON:0003126	AuG	Gene::55139
Anatomy::UBERON:0000057	AuG	Gene::55274
Anatomy::UBERON:0000029	AuG	Gene::256957
Anatomy::UBERON:0002048	AuG	Gene::5118
Anatomy::UBERON:0000057	AuG	Gene::56241
Anatomy::UBERON:0000178	AuG	Gene::9925
Anatomy::UBERON:0001896	AuG	Gene::5356
Anatomy::UBERON:0002107	AuG	Gene::10939
Anatomy::UBERON:0000057	AuG	Gene::4660
Anatomy::UBERON:0002048	AuG	Gene::51552
Anatomy::UBERON:0000955	AuG	Gene::158880
Anatomy::UBERON:0000007	AuG	Gene::140465
Anatomy::UBERON:0000992	AuG	Gene::91653
Anatomy::UBERON:0000992	AuG	Gene::139285
Anatomy::UBERON:0001225	AuG	Gene::8723
Anatomy::UBERON:0000007	AuG	Gene::93183
Anatomy::UBERON:0002046	AuG	Gene::4524
Anatomy::UBERON:0001296	AuG	Gene::55810
Anatomy::UBERON:0000955	AuG	Gene::1838
Anatomy::UBERON:0002107	AuG	Gene::51056
Anatomy::UBERON:0002371	AuG	Gene::79269
Anatomy::UBERON:0002048	AuG	Gene::79839
Anatomy::UBERON:0000178	AuG	Gene::84264
Anatomy::UBERON:0002030	AuG	Gene::7291
Anatomy::UBERON:0001675	AuG	Gene::221656
Anatomy::UBERON:0002371	AuG	Gene::55824
Anatomy::UBERON:0001893	AuG	Gene::9895
Anatomy::UBERON:0000948	AuG	Gene::369
Anatomy::UBERON:0001896	AuG	Gene::7042
Anatomy::UBERON:0001135	AuG	Gene::9871
Anatomy::UBERON:0000007	AuG	Gene::163590
Anatomy::UBERON:0000007	AuG	Gene::56899
Anatomy::UBERON:0002048	AuG	Gene::256949
Anatomy::UBERON:0000057	AuG	Gene::23111
Anatomy::UBERON:0000955	AuG	Gene::6252
Anatomy::UBERON:0002037	AuG	Gene::10253
Anatomy::UBERON:0002037	AuG	Gene::57683
Anatomy::UBERON:0000002	AuG	Gene::624
Anatomy::UBERON:0000029	AuG	Gene::55507
Anatomy::UBERON:0001295	AuG	Gene::23471
Anatomy::UBERON:0000178	AuG	Gene::115548
Anatomy::UBERON:0000992	AuG	Gene::341032
Anatomy::UBERON:0002185	AuG	Gene::3489
Anatomy::UBERON:0000997	AuG	Gene::7984
Anatomy::UBERON:0002369	AuG	Gene::30008
Anatomy::UBERON:0002082	AuG	Gene::10265
Anatomy::UBERON:0000178	AuG	Gene::51765
Anatomy::UBERON:0001225	AuG	Gene::54677
Anatomy::UBERON:0002371	AuG	Gene::26027
Anatomy::UBERON:0000007	AuG	Gene::80267
Anatomy::UBERON:0002107	AuG	Gene::13
Anatomy::UBERON:0000955	AuG	Gene::4801
Anatomy::UBERON:0001893	AuG	Gene::10098
Anatomy::UBERON:0000473	AuG	Gene::6813
Anatomy::UBERON:0002240	AuG	Gene::51133
Anatomy::UBERON:0001296	AuG	Gene::1809
Anatomy::UBERON:0000007	AuG	Gene::23787
Anatomy::UBERON:0000955	AuG	Gene::285590
Anatomy::UBERON:0001295	AuG	Gene::7157
Anatomy::UBERON:0000007	AuG	Gene::11102
Anatomy::UBERON:0000178	AuG	Gene::1146
Anatomy::UBERON:0002048	AuG	Gene::54187
Anatomy::UBERON:0000955	AuG	Gene::56893
Anatomy::UBERON:0001675	AuG	Gene::6900
Anatomy::UBERON:0001013	AuG	Gene::160851
Anatomy::UBERON:0002082	AuG	Gene::9215
Anatomy::UBERON:0001295	AuG	Gene::80314
Anatomy::UBERON:0002371	AuG	Gene::196264
Anatomy::UBERON:0000955	AuG	Gene::140730
Anatomy::UBERON:0002082	AuG	Gene::5507
Anatomy::UBERON:0002240	AuG	Gene::55719
Anatomy::UBERON:0000057	AuG	Gene::149041
Anatomy::UBERON:0001225	AuG	Gene::5076
Anatomy::UBERON:0001893	AuG	Gene::6843
Anatomy::UBERON:0001135	AuG	Gene::9255
Anatomy::UBERON:0000992	AuG	Gene::5179
Anatomy::UBERON:0000997	AuG	Gene::55650
Anatomy::UBERON:0000996	AuG	Gene::6649
Anatomy::UBERON:0000473	AuG	Gene::728695
Anatomy::UBERON:0003126	AuG	Gene::5858
Anatomy::UBERON:0002369	AuG	Gene::916
Anatomy::UBERON:0000473	AuG	Gene::10308
Anatomy::UBERON:0002240	AuG	Gene::23241
Anatomy::UBERON:0000178	AuG	Gene::3588
Anatomy::UBERON:0001013	AuG	Gene::48
Anatomy::UBERON:0002081	AuG	Gene::1879
Anatomy::UBERON:0001044	AuG	Gene::9144
Anatomy::UBERON:0000007	AuG	Gene::29937
Anatomy::UBERON:0001044	AuG	Gene::667
Anatomy::UBERON:0002048	AuG	Gene::493
Anatomy::UBERON:0002030	AuG	Gene::1490
Anatomy::UBERON:0000473	AuG	Gene::100506164
Anatomy::UBERON:0002107	AuG	Gene::63895
Anatomy::UBERON:0000057	AuG	Gene::9249
Anatomy::UBERON:0001225	AuG	Gene::585
Anatomy::UBERON:0002371	AuG	Gene::55328
Anatomy::UBERON:0000178	AuG	Gene::55284
Anatomy::UBERON:0000057	AuG	Gene::3956
Anatomy::UBERON:0002369	AuG	Gene::1545
Anatomy::UBERON:0002046	AuG	Gene::22929
Anatomy::UBERON:0000992	AuG	Gene::9719
Anatomy::UBERON:0001891	AuG	Gene::6695
Anatomy::UBERON:0001225	AuG	Gene::7275
Anatomy::UBERON:0002369	AuG	Gene::10693
Anatomy::UBERON:0002107	AuG	Gene::10747
Anatomy::UBERON:0001044	AuG	Gene::2045
Anatomy::UBERON:0002371	AuG	Gene::84174
Anatomy::UBERON:0001893	AuG	Gene::5300
Anatomy::UBERON:0000473	AuG	Gene::26528
Anatomy::UBERON:0002081	AuG	Gene::1345
Anatomy::UBERON:0003126	AuG	Gene::1107
Anatomy::UBERON:0001225	AuG	Gene::127124
Anatomy::UBERON:0001225	AuG	Gene::55504
Anatomy::UBERON:0000948	AuG	Gene::4733
Anatomy::UBERON:0002371	AuG	Gene::1164
Anatomy::UBERON:0001013	AuG	Gene::138428
Anatomy::UBERON:0000057	AuG	Gene::5976
Anatomy::UBERON:0000955	AuG	Gene::29078
Anatomy::UBERON:0000992	AuG	Gene::199692
Anatomy::UBERON:0000997	AuG	Gene::25818
Anatomy::UBERON:0002082	AuG	Gene::65009
Anatomy::UBERON:0002369	AuG	Gene::3339
Anatomy::UBERON:0000955	AuG	Gene::7529
Anatomy::UBERON:0000029	AuG	Gene::90780
Anatomy::UBERON:0001044	AuG	Gene::2705
Anatomy::UBERON:0000955	AuG	Gene::51011
Anatomy::UBERON:0000948	AuG	Gene::8525
Anatomy::UBERON:0001896	AuG	Gene::9638
Anatomy::UBERON:0000948	AuG	Gene::25847
Anatomy::UBERON:0000995	AuG	Gene::1998
Anatomy::UBERON:0002030	AuG	Gene::1026
Anatomy::UBERON:0001896	AuG	Gene::28512
Anatomy::UBERON:0002048	AuG	Gene::3726
Anatomy::UBERON:0002107	AuG	Gene::5858
Anatomy::UBERON:0002046	AuG	Gene::55342
Anatomy::UBERON:0001225	AuG	Gene::9514
Anatomy::UBERON:0000057	AuG	Gene::311
Anatomy::UBERON:0002107	AuG	Gene::9868
Anatomy::UBERON:0001675	AuG	Gene::26258
Anatomy::UBERON:0000002	AuG	Gene::1294
Anatomy::UBERON:0002081	AuG	Gene::83478
Anatomy::UBERON:0002081	AuG	Gene::2182
Anatomy::UBERON:0002369	AuG	Gene::10978
Anatomy::UBERON:0001013	AuG	Gene::23037
Anatomy::UBERON:0000178	AuG	Gene::29116
Anatomy::UBERON:0000007	AuG	Gene::26230
Anatomy::UBERON:0002369	AuG	Gene::79676
Anatomy::UBERON:0001225	AuG	Gene::2203
Anatomy::UBERON:0001893	AuG	Gene::5138
Anatomy::UBERON:0000178	AuG	Gene::489
Anatomy::UBERON:0002107	AuG	Gene::28992
Anatomy::UBERON:0001891	AuG	Gene::2670
Anatomy::UBERON:0002048	AuG	Gene::396
Anatomy::UBERON:0001891	AuG	Gene::80317
Anatomy::UBERON:0002240	AuG	Gene::192669
Anatomy::UBERON:0000996	AuG	Gene::965
Anatomy::UBERON:0000997	AuG	Gene::8202
Anatomy::UBERON:0000057	AuG	Gene::57120
Anatomy::UBERON:0001893	AuG	Gene::55800
Anatomy::UBERON:0002369	AuG	Gene::123803
Anatomy::UBERON:0002369	AuG	Gene::55911
Anatomy::UBERON:0002037	AuG	Gene::57148
Anatomy::UBERON:0000057	AuG	Gene::8404
Anatomy::UBERON:0000007	AuG	Gene::64792
Anatomy::UBERON:0002240	AuG	Gene::92521
Anatomy::UBERON:0001235	AuG	Gene::85450
Anatomy::UBERON:0001295	AuG	Gene::307
Anatomy::UBERON:0000007	AuG	Gene::127733
Anatomy::UBERON:0000057	AuG	Gene::130872
Anatomy::UBERON:0000997	AuG	Gene::55048
Anatomy::UBERON:0000178	AuG	Gene::51094
Anatomy::UBERON:0002030	AuG	Gene::64121
Anatomy::UBERON:0000007	AuG	Gene::8890
Anatomy::UBERON:0002367	AuG	Gene::92912
Anatomy::UBERON:0000178	AuG	Gene::5368
Anatomy::UBERON:0002369	AuG	Gene::8692
Anatomy::UBERON:0000057	AuG	Gene::6601
Anatomy::UBERON:0001896	AuG	Gene::6696
Anatomy::UBERON:0000178	AuG	Gene::222255
Anatomy::UBERON:0001675	AuG	Gene::84319
Anatomy::UBERON:0002107	AuG	Gene::7035
Anatomy::UBERON:0000002	AuG	Gene::54622
Anatomy::UBERON:0000029	AuG	Gene::729085
Anatomy::UBERON:0001891	AuG	Gene::29934
Anatomy::UBERON:0002185	AuG	Gene::22822
Anatomy::UBERON:0000955	AuG	Gene::5142
Anatomy::UBERON:0002369	AuG	Gene::124512
Anatomy::UBERON:0002030	AuG	Gene::348938
Anatomy::UBERON:0001296	AuG	Gene::10484
Anatomy::UBERON:0000473	AuG	Gene::9633
Anatomy::UBERON:0001896	AuG	Gene::87178
Anatomy::UBERON:0000996	AuG	Gene::1730
Anatomy::UBERON:0000178	AuG	Gene::27178
Anatomy::UBERON:0001295	AuG	Gene::79680
Anatomy::UBERON:0002369	AuG	Gene::51188
Anatomy::UBERON:0000057	AuG	Gene::80219
Anatomy::UBERON:0003126	AuG	Gene::55567
Anatomy::UBERON:0001893	AuG	Gene::6717
Anatomy::UBERON:0001896	AuG	Gene::49855
Anatomy::UBERON:0000057	AuG	Gene::91107
Anatomy::UBERON:0002030	AuG	Gene::2274
Anatomy::UBERON:0000002	AuG	Gene::83643
Anatomy::UBERON:0001296	AuG	Gene::6451
Anatomy::UBERON:0000473	AuG	Gene::100142659
Anatomy::UBERON:0002369	AuG	Gene::3553
Anatomy::UBERON:0000057	AuG	Gene::57707
Anatomy::UBERON:0001296	AuG	Gene::9734
Anatomy::UBERON:0000948	AuG	Gene::284119
Anatomy::UBERON:0002371	AuG	Gene::54855
Anatomy::UBERON:0001044	AuG	Gene::11197
Anatomy::UBERON:0000473	AuG	Gene::222659
Anatomy::UBERON:0001891	AuG	Gene::23175
Anatomy::UBERON:0002046	AuG	Gene::79752
Anatomy::UBERON:0002369	AuG	Gene::2894
Anatomy::UBERON:0001044	AuG	Gene::56886
Anatomy::UBERON:0001225	AuG	Gene::80199
Anatomy::UBERON:0001044	AuG	Gene::6156
Anatomy::UBERON:0002367	AuG	Gene::401427
Anatomy::UBERON:0002081	AuG	Gene::79953
Anatomy::UBERON:0000995	AuG	Gene::23002
Anatomy::UBERON:0002081	AuG	Gene::55466
Anatomy::UBERON:0000057	AuG	Gene::3661
Anatomy::UBERON:0000473	AuG	Gene::5294
Anatomy::UBERON:0001896	AuG	Gene::460
Anatomy::UBERON:0000948	AuG	Gene::11247
Anatomy::UBERON:0000992	AuG	Gene::56181
Anatomy::UBERON:0002030	AuG	Gene::51449
Anatomy::UBERON:0001295	AuG	Gene::284459
Anatomy::UBERON:0002371	AuG	Gene::22823
Anatomy::UBERON:0000995	AuG	Gene::8324
Anatomy::UBERON:0000955	AuG	Gene::6812
Anatomy::UBERON:0001225	AuG	Gene::79789
Anatomy::UBERON:0001225	AuG	Gene::23062
Anatomy::UBERON:0000996	AuG	Gene::10464
Anatomy::UBERON:0002240	AuG	Gene::6733
Anatomy::UBERON:0002046	AuG	Gene::9501
Anatomy::UBERON:0000955	AuG	Gene::3751
Anatomy::UBERON:0002371	AuG	Gene::5985
Anatomy::UBERON:0001235	AuG	Gene::80764
Anatomy::UBERON:0000955	AuG	Gene::117143
Anatomy::UBERON:0001235	AuG	Gene::22929
Anatomy::UBERON:0001891	AuG	Gene::8874
Anatomy::UBERON:0002371	AuG	Gene::729991
Anatomy::UBERON:0003126	AuG	Gene::5627
Anatomy::UBERON:0000948	AuG	Gene::2342
Anatomy::UBERON:0001225	AuG	Gene::9788
Anatomy::UBERON:0001891	AuG	Gene::8618
Anatomy::UBERON:0000057	AuG	Gene::54963
Anatomy::UBERON:0000996	AuG	Gene::4853
Anatomy::UBERON:0002048	AuG	Gene::4013
Anatomy::UBERON:0000473	AuG	Gene::284958
Anatomy::UBERON:0000955	AuG	Gene::90678
Anatomy::UBERON:0000178	AuG	Gene::84901
Anatomy::UBERON:0000997	AuG	Gene::255252
Anatomy::UBERON:0001891	AuG	Gene::55788
Anatomy::UBERON:0001135	AuG	Gene::8766
Anatomy::UBERON:0001235	AuG	Gene::7019
Anatomy::UBERON:0002371	AuG	Gene::51816
Anatomy::UBERON:0001295	AuG	Gene::8727
Anatomy::UBERON:0002030	AuG	Gene::23268
Anatomy::UBERON:0001295	AuG	Gene::1545
Anatomy::UBERON:0001896	AuG	Gene::5049
Anatomy::UBERON:0001896	AuG	Gene::9379
Anatomy::UBERON:0000007	AuG	Gene::10256
Anatomy::UBERON:0002240	AuG	Gene::6541
Anatomy::UBERON:0001891	AuG	Gene::348801
Anatomy::UBERON:0002081	AuG	Gene::54841
Anatomy::UBERON:0000057	AuG	Gene::3508
Anatomy::UBERON:0001235	AuG	Gene::8462
Anatomy::UBERON:0002185	AuG	Gene::1302
Anatomy::UBERON:0002046	AuG	Gene::1795
Anatomy::UBERON:0001044	AuG	Gene::78996
Anatomy::UBERON:0002369	AuG	Gene::28982
Anatomy::UBERON:0001675	AuG	Gene::4782
Anatomy::UBERON:0002037	AuG	Gene::30000
Anatomy::UBERON:0001891	AuG	Gene::4801
Anatomy::UBERON:0001675	AuG	Gene::5592
Anatomy::UBERON:0002082	AuG	Gene::51751
Anatomy::UBERON:0002037	AuG	Gene::409
Anatomy::UBERON:0000473	AuG	Gene::25861
Anatomy::UBERON:0002081	AuG	Gene::84896
Anatomy::UBERON:0001013	AuG	Gene::25943
Anatomy::UBERON:0002367	AuG	Gene::54802
Anatomy::UBERON:0000955	AuG	Gene::8120
Anatomy::UBERON:0000992	AuG	Gene::79848
Anatomy::UBERON:0002037	AuG	Gene::84823
Anatomy::UBERON:0001891	AuG	Gene::10817
Anatomy::UBERON:0001296	AuG	Gene::81488
Anatomy::UBERON:0002081	AuG	Gene::27231
Anatomy::UBERON:0002037	AuG	Gene::57184
Anatomy::UBERON:0001675	AuG	Gene::23384
Anatomy::UBERON:0001675	AuG	Gene::81533
Anatomy::UBERON:0002371	AuG	Gene::64407
Anatomy::UBERON:0001225	AuG	Gene::115677
Anatomy::UBERON:0002048	AuG	Gene::3669
Anatomy::UBERON:0000948	AuG	Gene::137682
Anatomy::UBERON:0000992	AuG	Gene::7482
Anatomy::UBERON:0001044	AuG	Gene::93349
Anatomy::UBERON:0000996	AuG	Gene::79630
Anatomy::UBERON:0000178	AuG	Gene::1609
Anatomy::UBERON:0002081	AuG	Gene::283537
Anatomy::UBERON:0000029	AuG	Gene::64926
Anatomy::UBERON:0002030	AuG	Gene::152
Anatomy::UBERON:0001891	AuG	Gene::55860
Anatomy::UBERON:0002107	AuG	Gene::64651
Anatomy::UBERON:0000178	AuG	Gene::57565
Anatomy::UBERON:0001295	AuG	Gene::2737
Anatomy::UBERON:0000057	AuG	Gene::84152
Anatomy::UBERON:0000029	AuG	Gene::4363
Anatomy::UBERON:0000029	AuG	Gene::3770
Anatomy::UBERON:0001893	AuG	Gene::1607
Anatomy::UBERON:0002037	AuG	Gene::55223
Anatomy::UBERON:0000007	AuG	Gene::51259
Anatomy::UBERON:0000007	AuG	Gene::55713
Anatomy::UBERON:0000955	AuG	Gene::282973
Anatomy::UBERON:0002240	AuG	Gene::130535
Anatomy::UBERON:0001013	AuG	Gene::54887
Anatomy::UBERON:0002369	AuG	Gene::285016
Anatomy::UBERON:0002046	AuG	Gene::8802
Anatomy::UBERON:0000057	AuG	Gene::6525
Anatomy::UBERON:0000948	AuG	Gene::80149
Anatomy::UBERON:0002030	AuG	Gene::7965
Anatomy::UBERON:0000057	AuG	Gene::152273
Anatomy::UBERON:0003126	AuG	Gene::203111
Anatomy::UBERON:0002048	AuG	Gene::3111
Anatomy::UBERON:0002030	AuG	Gene::9686
Anatomy::UBERON:0001891	AuG	Gene::90678
Anatomy::UBERON:0000948	AuG	Gene::57447
Anatomy::UBERON:0002185	AuG	Gene::83690
Anatomy::UBERON:0001295	AuG	Gene::3479
Anatomy::UBERON:0002082	AuG	Gene::84529
Anatomy::UBERON:0002369	AuG	Gene::768211
Anatomy::UBERON:0002107	AuG	Gene::2517
Anatomy::UBERON:0000948	AuG	Gene::84033
Anatomy::UBERON:0000029	AuG	Gene::26064
Anatomy::UBERON:0002037	AuG	Gene::360023
Anatomy::UBERON:0000057	AuG	Gene::10406
Anatomy::UBERON:0001013	AuG	Gene::23143
Anatomy::UBERON:0001135	AuG	Gene::6165
Anatomy::UBERON:0000995	AuG	Gene::7026
Anatomy::UBERON:0002371	AuG	Gene::170954
Anatomy::UBERON:0000057	AuG	Gene::84795
Anatomy::UBERON:0001225	AuG	Gene::8659
Anatomy::UBERON:0000057	AuG	Gene::23645
Anatomy::UBERON:0000992	AuG	Gene::10412
Anatomy::UBERON:0000029	AuG	Gene::3570
Anatomy::UBERON:0000057	AuG	Gene::9373
Anatomy::UBERON:0002371	AuG	Gene::56000
Anatomy::UBERON:0002240	AuG	Gene::54477
Anatomy::UBERON:0000002	AuG	Gene::10266
Anatomy::UBERON:0000955	AuG	Gene::2119
Anatomy::UBERON:0000997	AuG	Gene::3868
Anatomy::UBERON:0000057	AuG	Gene::51315
Anatomy::UBERON:0002185	AuG	Gene::84766
Anatomy::UBERON:0000955	AuG	Gene::153396
Anatomy::UBERON:0000007	AuG	Gene::9781
Anatomy::UBERON:0000997	AuG	Gene::79760
Anatomy::UBERON:0001893	AuG	Gene::4062
Anatomy::UBERON:0002081	AuG	Gene::4128
Anatomy::UBERON:0000955	AuG	Gene::55502
Anatomy::UBERON:0000997	AuG	Gene::9409
Anatomy::UBERON:0001135	AuG	Gene::5584
Anatomy::UBERON:0001893	AuG	Gene::26507
Anatomy::UBERON:0000029	AuG	Gene::2005
Anatomy::UBERON:0000955	AuG	Gene::29906
Anatomy::UBERON:0001675	AuG	Gene::11118
Anatomy::UBERON:0000057	AuG	Gene::51292
Anatomy::UBERON:0002369	AuG	Gene::249
Anatomy::UBERON:0002030	AuG	Gene::3886
Anatomy::UBERON:0002367	AuG	Gene::4149
Anatomy::UBERON:0001675	AuG	Gene::401115
Anatomy::UBERON:0000948	AuG	Gene::28227
Anatomy::UBERON:0002369	AuG	Gene::53829
Anatomy::UBERON:0001225	AuG	Gene::475
Anatomy::UBERON:0000178	AuG	Gene::55909
Anatomy::UBERON:0002081	AuG	Gene::358
Anatomy::UBERON:0001675	AuG	Gene::5339
Anatomy::UBERON:0002037	AuG	Gene::23348
Anatomy::UBERON:0000995	AuG	Gene::51111
Anatomy::UBERON:0000029	AuG	Gene::5175
Anatomy::UBERON:0000473	AuG	Gene::9972
Anatomy::UBERON:0001896	AuG	Gene::168090
Anatomy::UBERON:0002081	AuG	Gene::23012
Anatomy::UBERON:0001891	AuG	Gene::396
Anatomy::UBERON:0000473	AuG	Gene::8526
Anatomy::UBERON:0000007	AuG	Gene::51004
Anatomy::UBERON:0000955	AuG	Gene::118812
Anatomy::UBERON:0000178	AuG	Gene::23216
Anatomy::UBERON:0002185	AuG	Gene::200373
Anatomy::UBERON:0001896	AuG	Gene::79856
Anatomy::UBERON:0000178	AuG	Gene::11078
Anatomy::UBERON:0002367	AuG	Gene::30827
Anatomy::UBERON:0001295	AuG	Gene::4488
Anatomy::UBERON:0002082	AuG	Gene::85450
Anatomy::UBERON:0000007	AuG	Gene::5037
Anatomy::UBERON:0002081	AuG	Gene::1634
Anatomy::UBERON:0000955	AuG	Gene::93611
Anatomy::UBERON:0000995	AuG	Gene::90
Anatomy::UBERON:0002030	AuG	Gene::23065
Anatomy::UBERON:0000057	AuG	Gene::9353
Anatomy::UBERON:0000002	AuG	Gene::56288
Anatomy::UBERON:0002082	AuG	Gene::1047
Anatomy::UBERON:0001891	AuG	Gene::309
Anatomy::UBERON:0002082	AuG	Gene::57158
Anatomy::UBERON:0001896	AuG	Gene::388650
Anatomy::UBERON:0001044	AuG	Gene::64924
Anatomy::UBERON:0000955	AuG	Gene::100303755
Anatomy::UBERON:0002048	AuG	Gene::10800
Anatomy::UBERON:0000029	AuG	Gene::139818
Anatomy::UBERON:0000007	AuG	Gene::5411
Anatomy::UBERON:0001235	AuG	Gene::4635
Anatomy::UBERON:0001675	AuG	Gene::64283
Anatomy::UBERON:0000997	AuG	Gene::55796
Anatomy::UBERON:0001225	AuG	Gene::54622
Anatomy::UBERON:0002369	AuG	Gene::57690
Anatomy::UBERON:0001296	AuG	Gene::27236
Anatomy::UBERON:0000948	AuG	Gene::7035
Anatomy::UBERON:0002048	AuG	Gene::4092
Anatomy::UBERON:0001013	AuG	Gene::646457
Anatomy::UBERON:0000007	AuG	Gene::26057
Anatomy::UBERON:0001225	AuG	Gene::57674
Anatomy::UBERON:0000178	AuG	Gene::10057
Anatomy::UBERON:0001235	AuG	Gene::4864
Anatomy::UBERON:0000002	AuG	Gene::121536
Anatomy::UBERON:0001013	AuG	Gene::56888
Anatomy::UBERON:0000473	AuG	Gene::54468
Anatomy::UBERON:0002037	AuG	Gene::10815
Anatomy::UBERON:0002107	AuG	Gene::2098
Anatomy::UBERON:0000997	AuG	Gene::51338
Anatomy::UBERON:0002082	AuG	Gene::401265
Anatomy::UBERON:0000473	AuG	Gene::8460
Anatomy::UBERON:0001225	AuG	Gene::3033
Anatomy::UBERON:0003126	AuG	Gene::828
Anatomy::UBERON:0001296	AuG	Gene::2121
Anatomy::UBERON:0002107	AuG	Gene::2021
Anatomy::UBERON:0001675	AuG	Gene::10133
Anatomy::UBERON:0002369	AuG	Gene::1609
Anatomy::UBERON:0000029	AuG	Gene::55671
Anatomy::UBERON:0001896	AuG	Gene::257407
Anatomy::UBERON:0001675	AuG	Gene::51185
Anatomy::UBERON:0002240	AuG	Gene::85442
Anatomy::UBERON:0000473	AuG	Gene::90410
Anatomy::UBERON:0000178	AuG	Gene::4818
Anatomy::UBERON:0002030	AuG	Gene::171177
Anatomy::UBERON:0001891	AuG	Gene::90332
Anatomy::UBERON:0002046	AuG	Gene::441459
Anatomy::UBERON:0002185	AuG	Gene::4170
Anatomy::UBERON:0000992	AuG	Gene::643847
Anatomy::UBERON:0001296	AuG	Gene::6137
Anatomy::UBERON:0002369	AuG	Gene::23351
Anatomy::UBERON:0000948	AuG	Gene::4723
Anatomy::UBERON:0002107	AuG	Gene::23266
Anatomy::UBERON:0000007	AuG	Gene::5566
Anatomy::UBERON:0001235	AuG	Gene::9921
Anatomy::UBERON:0002369	AuG	Gene::389643
Anatomy::UBERON:0001893	AuG	Gene::2982
Anatomy::UBERON:0000992	AuG	Gene::3841
Anatomy::UBERON:0002367	AuG	Gene::116039
Anatomy::UBERON:0000948	AuG	Gene::5214
Anatomy::UBERON:0002046	AuG	Gene::8313
Anatomy::UBERON:0000948	AuG	Gene::114876
Anatomy::UBERON:0000997	AuG	Gene::6670
Anatomy::UBERON:0002369	AuG	Gene::29781
Anatomy::UBERON:0000955	AuG	Gene::203
Anatomy::UBERON:0001225	AuG	Gene::1188
Anatomy::UBERON:0001235	AuG	Gene::157680
Anatomy::UBERON:0001295	AuG	Gene::10046
Anatomy::UBERON:0001295	AuG	Gene::3485
Anatomy::UBERON:0002369	AuG	Gene::22981
Anatomy::UBERON:0000007	AuG	Gene::9778
Anatomy::UBERON:0000473	AuG	Gene::154075
Anatomy::UBERON:0002371	AuG	Gene::128989
Anatomy::UBERON:0002371	AuG	Gene::7128
Anatomy::UBERON:0001295	AuG	Gene::6160
Anatomy::UBERON:0001044	AuG	Gene::57589
Anatomy::UBERON:0002185	AuG	Gene::10146
Anatomy::UBERON:0000992	AuG	Gene::51593
Anatomy::UBERON:0002048	AuG	Gene::2783
Anatomy::UBERON:0001893	AuG	Gene::23258
Anatomy::UBERON:0001013	AuG	Gene::128077
Anatomy::UBERON:0000992	AuG	Gene::10765
Anatomy::UBERON:0000178	AuG	Gene::55069
Anatomy::UBERON:0000007	AuG	Gene::55213
Anatomy::UBERON:0001896	AuG	Gene::8120
Anatomy::UBERON:0001295	AuG	Gene::23139
Anatomy::UBERON:0001675	AuG	Gene::6258
Anatomy::UBERON:0000029	AuG	Gene::9657
Anatomy::UBERON:0001896	AuG	Gene::286499
Anatomy::UBERON:0001891	AuG	Gene::64121
